"","speed","distance"
"1",1.35913415424498e-10,2
"2",6.78545171743357e-10,9.16
"3",1.83329825016202e-09,16.14
"4",1.62891717433571e-09,17.95
"5",1.50526662346079e-09,21.88
"6",2.84089695398574e-10,3.22
"7",7.29640440699935e-10,11.22
"8",9.01320544394038e-10,11.75
"9",8.1752430330525e-11,3.63
"10",7.88910952689566e-10,13.8
"11",6.56063253402463e-10,10
"12",7.8482333117304e-10,10.52
"13",6.22340375891121e-10,6.64
"14",1.46439040829553e-09,15.21
"15",6.32559429682437e-10,17.7
"16",1.45519325988334e-09,14.86
"17",1.41431704471808e-09,16.22
"18",1.47563136746598e-09,15.78
"19",1.45417135450421e-09,14.93
"20",1.43373324692158e-09,21.98
"21",1.12716163318211e-09,12.36
"22",3.24965910563837e-10,4.49
"23",2.37082047958522e-10,3.15
"24",1.02088347375243e-09,14.72
